code,name,trading_value,open_price,high_price,low_price,close_price
710026,精材統一63購01,0,,,,
710027,雙鴻統一63購02,476760,1.36,1.38,1.36,1.38
710028,穩得統一68購01,0,,,,
710029,佳邦富邦5C購01,0,,,,
710030,宜鼎富邦63購02,0,,,,
710031,富喬富邦63購01,231020,0.88,0.93,0.88,0.92
710032,群聯富邦62購07,0,,,,
710033,群聯富邦62購08,0,,,,
710034,中美晶台新5C購01,583900,1.6,1.6,1.52,1.52
710035,台半台新5C購01,0,,,,
710036,台半台新5C購02,0,,,,
710037,廣閎科台新5C購02,1180,1.18,1.18,1.18,1.18
710038,良維永豐5C購04,99950,0.71,0.75,0.71,0.75
710039,朋億*永豐61購01,0,,,,
710040,華景電永豐63購01,0,,,,
710041,群聯永豐5C購10,0,,,,
710042,群聯永豐5C購11,0,,,,
710043,群聯永豐5C購12,0,,,,
710044,臺慶科永豐5C購02,0,,,,
710045,力致國票61購01,0,,,,
710046,千附國票61購02,0,,,,
710047,中美晶國票61購02,211650,0.96,0.96,0.91,0.91
710048,加高國票61購03,0,,,,
710049,宏碁資國票61購01,261220,0.59,0.59,0.54,0.54
710050,朋億*國票61購03,0,,,,
710051,美琪瑪國票61購01,0,,,,
710052,高鋒國票61購01,4300,0.43,0.43,0.43,0.43
710053,博士旺國票5C購02,410,0.41,0.41,0.41,0.41
710054,閎康國票61購02,0,,,,
710055,聖暉*國票61購03,0,,,,
710056,臺慶科國票61購03,0,,,,
710057,廣閎科國票61購03,0,,,,
710058,廣運國票61購01,0,,,,
710059,營邦國票5C購01,0,,,,
710060,營邦國票5C購02,0,,,,
710061,鴻呈國票61購01,0,,,,
710062,中美晶凱基61購04,0,,,,
710063,威剛凱基5C購06,0,,,,
710064,宣德凱基5C購01,0,,,,
710065,精材凱基5C購04,0,,,,
710066,臺慶科凱基5C購05,500,0.05,0.05,0.05,0.05
710067,廣閎科凱基5C購02,0,,,,
710068,營邦凱基5C購01,0,,,,
710069,營邦凱基5C購02,23210,1.22,1.24,1.22,1.24
710070,營邦凱基5C購03,32400,1.08,1.08,1.08,1.08
710071,中美晶群益5C購04,3650,0.73,0.73,0.73,0.73
710072,兆利群益5C購01,0,,,,
710073,營邦群益5C購01,0,,,,
710074,營邦群益5C購02,440800,1.79,1.8,1.75,1.8
710075,世界元大5C購07,63610,0.93,0.93,0.92,0.92
710076,世界元大63購04,44650,0.72,0.73,0.72,0.73
710077,宜鼎元大5C購11,3800,0.19,0.19,0.19,0.19
710078,威剛元大61購05,0,,,,
710079,廣閎科元大5C購03,201730,0.41,0.41,0.38,0.38
710080,營邦元大5C購01,380250,2.0,2.11,2.0,2.07
710081,凱崴國泰61購01,0,,,,
710082,廣閎科國泰61購01,0,,,,
710083,營邦國泰61購01,148500,3.01,3.01,2.95,2.95
710084,營邦富邦62購01,0,,,,
710085,營邦富邦63購01,8400,0.7,0.7,0.7,0.7
710086,中美晶統一66購03,55100,0.58,0.58,0.58,0.58
710087,台特化統一6C購02,0,,,,
710088,朋程統一65購02,28200,0.3,0.3,0.3,0.3
710089,朋億*統一66購01,0,,,,
710090,威剛統一63購01,0,,,,
710091,威剛統一65購05,0,,,,
710092,美琪瑪統一6A購01,0,,,,
710093,華景電統一64購03,0,,,,
710094,群聯統一66購01,3430,0.49,0.49,0.49,0.49
710095,聖暉*統一66購01,0,,,,
710096,博智國泰61購01,66000,0.66,0.66,0.66,0.66
710097,營邦統一66購01,46450,1.14,1.14,1.12,1.12
710098,營邦統一66購02,0,,,,
710099,營邦統一66購03,0,,,,
710100,營邦統一6C購01,426210,0.92,0.92,0.9,0.91
710101,中美晶台新5C購02,0,,,,
710102,中美晶台新5C購03,0,,,,
710103,東浦台新5C購02,0,,,,
710104,東浦台新5C購03,0,,,,
710105,勤凱台新5C購01,0,,,,
710106,聖暉*台新5C購02,0,,,,
710107,聖暉*台新5C購03,0,,,,
710108,聖暉*台新5C購04,0,,,,
710109,廣閎科台新5C購03,0,,,,
710110,銳澤台新5C購01,0,,,,
710111,騰雲台新5C購01,19580,1.78,1.78,1.78,1.78
710112,中美晶凱基61購05,510,0.51,0.51,0.51,0.51
710113,世界凱基5C購06,0,,,,
710114,宜鼎凱基5C購07,0,,,,
