code,name,trading_value
701374,台燿元大5B購01,15200
701379,威剛元大5B購02,0
701381,新應材元大5B購02,0
701388,中光電凱基5A購01,0
701400,台燿元大5B購02,0
701403,神盾元大5B購01,0
701422,中光電兆豐5B購01,0
701430,台燿統一5B購01,0
701431,台燿統一5B購02,0
701432,正基統一5C購01,0
701434,良維統一6B購01,0
701437,威剛統一5B購01,0
701438,威剛統一6B購01,68510
701440,華星光統一5B購04,0
701441,華星光統一61購04,0
701442,雙鴻統一6B購01,28840
701460,神盾凱基5B購01,0
701471,台燿統一65購01,0
701472,雙鴻統一61購03,3500
701473,穩懋統一5B購01,0
701474,穩懋統一6B購01,0
701479,威剛元大5A購02,0
701484,擎亞元大5B購01,6200
701500,雙鴻中信5B購01,0
701511,新應材凱基5B購01,0
701524,雙鴻群益5A購02,0
701571,擎亞元大5B購02,438700
701592,竹陞統一6B購01,3390
701593,竹陞統一6B購02,0
701594,海韻電統一61購01,0
701614,信立元大5B購01,0
701615,威剛元大5B購03,0
701623,元太統一5B購01,460
701624,竹陞統一5C購03,0
701625,竹陞統一6B購03,9500
701626,東捷統一5C購01,0
701650,台燿元大5B購03,0
701653,威剛元大59購02,0
701655,雙鴻元大59購01,0
701658,信昌電統一5C購02,4650
701659,穩懋統一59購01,0
701667,雙鴻群益5B購02,24250
701680,宜鼎兆豐5B購01,0
701692,台燿統一6B購01,0
701693,系統電統一5C購01,0
701694,系統電統一6B購01,0
701695,系統電統一6B購02,0
701696,宜鼎統一5A購01,0
701697,宜鼎統一5C購04,0
701698,宜鼎統一6B購01,31500
701699,訊聯統一6B購01,0
701707,威剛凱基59購02,0
